source,target,value
Tarjeta_9683,Azada Lars,0.1
Tarjeta_9683,Balas Felix,0.09090909090909091
Tarjeta_9683,Barranco Ingrid,0.09090909090909091
Tarjeta_9683,Baza Isak,0.09090909090909091
Tarjeta_9683,Bergen Linnea,0.09090909090909091
Tarjeta_9683,Cazar Gustav,0.09090909090909091
Tarjeta_9683,Calzas Axel,0.4242424242424242
Tarjeta_9683,Cocinaro Hideki,0.18181818181818182
Tarjeta_9683,Ferro Inga,1.513131313131313
Tarjeta_9683,Dedos Lidelse,0.19090909090909092
Tarjeta_9683,Bodrogi Loreto,0.9290404040404039
Tarjeta_9683,Vann Isia,1.004040404040404
Tarjeta_9683,Flecha Sven,0.6477272727272728
Tarjeta_9683,Frente Birgitta,0.1
Tarjeta_9683,Frente Vira,0.28181818181818186
Tarjeta_9683,Fusil Stenig,0.6318181818181818
Tarjeta_9683,Osvaldo Hennie,0.7972222222222223
Tarjeta_9683,Nubarron Adra,1.163131313131313
Tarjeta_9683,Lagos Varja,0.4381313131313131
Tarjeta_9683,Mies Minke,0.7151515151515151
Tarjeta_9683,Herrero Kanon,0.18181818181818182
Tarjeta_9683,Onda Marin,0.09090909090909091
Tarjeta_9683,Ovan Bertrand,0.1
Tarjeta_9683,Resumir Felix,1.4964646464646463
Tarjeta_9683,Strum Orhan,0.19090909090909092
Tarjeta_9683,Tempestad Brand,0.6381313131313131
Tarjeta_9683,Vann Edvard,0.538131313131313
Tarjeta_9635,Balas Felix,0.5
Tarjeta_9635,Barranco Ingrid,0.25
Tarjeta_9635,Bergen Linnea,0.3333333333333333
Tarjeta_9635,Orilla Elsa,0.25
Tarjeta_9635,Campo-Corrente Ada,0.5
Tarjeta_9635,Vann Isia,0.3333333333333333
Tarjeta_9635,Frente Vira,0.25
Tarjeta_9635,Mies Minke,0.3333333333333333
Tarjeta_9635,Tempestad Brand,1.0
Tarjeta_9635,Vasco-Pais Willem,0.25
Tarjeta_9617,Bergen Linnea,4.666666666666667
Tarjeta_9617,Vann Isia,0.3333333333333333
Tarjeta_9617,Fusil Stenig,0.3333333333333333
Tarjeta_9617,Mies Minke,0.6666666666666666
Tarjeta_9617,Herrero Kanon,1.6666666666666665
Tarjeta_9617,Ovan Bertrand,1.3333333333333333
Tarjeta_9617,Tempestad Brand,0.5
Tarjeta_9617,Vann Edvard,0.5
Tarjeta_9551,Calixto Nils,0.1111111111111111
Tarjeta_9551,Azada Lars,0.1111111111111111
Tarjeta_9551,Barranco Ingrid,0.1111111111111111
Tarjeta_9551,Baza Isak,0.5
Tarjeta_9551,Bergen Linnea,2.0
Tarjeta_9551,Cazar Gustav,0.1111111111111111
Tarjeta_9551,Campo-Corrente Ada,0.1111111111111111
Tarjeta_9551,Calzas Axel,0.1111111111111111
Tarjeta_9551,Frente Vira,0.1111111111111111
Tarjeta_9551,Mies Minke,0.6111111111111112
Tarjeta_9551,Herrero Kanon,1.5
Tarjeta_9551,Ovan Bertrand,1.0
Tarjeta_9551,Strum Orhan,4.611111111111111
Tarjeta_9551,Vasco-Pais Willem,1.0
Tarjeta_9405,Ferro Inga,1.2456349206349207
Tarjeta_9405,Bodrogi Loreto,0.8706349206349207
Tarjeta_9405,Vann Isia,0.4027777777777778
Tarjeta_9405,Flecha Sven,0.14285714285714285
Tarjeta_9405,Fusil Stenig,0.34285714285714286
Tarjeta_9405,Osvaldo Hennie,0.7956349206349205
Tarjeta_9405,Nubarron Adra,0.5789682539682539
Tarjeta_9405,Lagos Varja,0.2361111111111111
Tarjeta_9405,Mies Minke,0.41666666666666663
Tarjeta_9405,Herrero Kanon,1.0
Tarjeta_9405,Resumir Felix,1.2456349206349207
Tarjeta_9405,Tempestad Brand,0.4861111111111111
Tarjeta_9405,Vann Edvard,0.2361111111111111
Tarjeta_9405,Vasco-Pais Willem,1.0
Tarjeta_9241,Baza Isak,2.0
Tarjeta_9241,Ferro Inga,1.0
Tarjeta_9241,Bodrogi Loreto,0.5
Tarjeta_9241,Osvaldo Hennie,0.5
Tarjeta_9241,Mies Minke,2.0
Tarjeta_9241,Strum Orhan,3.0
Tarjeta_9220,Campo-Corrente Ada,1.0
Tarjeta_9220,Mies Minke,1.0
Tarjeta_8411,Ferro Inga,1.2833333333333332
Tarjeta_8411,Bodrogi Loreto,0.2
Tarjeta_8411,Osvaldo Hennie,0.3333333333333333
Tarjeta_8411,Nubarron Adra,1.2
Tarjeta_8411,Lagos Varja,0.25
Tarjeta_8411,Mies Minke,0.2
Tarjeta_8411,Resumir Felix,3.283333333333333
Tarjeta_8411,Vann Edvard,0.25
Tarjeta_8332,Balas Felix,0.5
Tarjeta_8332,Baza Isak,1.0
Tarjeta_8332,Bergen Linnea,0.3333333333333333
Tarjeta_8332,Campo-Corrente Ada,0.5
Tarjeta_8332,Vann Isia,0.3333333333333333
Tarjeta_8332,Mies Minke,0.3333333333333333
Tarjeta_8332,Tempestad Brand,1.0
Tarjeta_8202,Ferro Inga,1.2
Tarjeta_8202,Bodrogi Loreto,1.5
Tarjeta_8202,Flecha Sven,0.16666666666666666
Tarjeta_8202,Fusil Stenig,0.16666666666666666
Tarjeta_8202,Osvaldo Hennie,0.2
Tarjeta_8202,Nubarron Adra,1.3666666666666667
Tarjeta_8202,Lagos Varja,0.5
Tarjeta_8202,Mies Minke,1.2
Tarjeta_8202,Resumir Felix,2.7
Tarjeta_8156,Azada Lars,0.26785714285714285
Tarjeta_8156,Balas Felix,0.14285714285714285
Tarjeta_8156,Barranco Ingrid,0.14285714285714285
Tarjeta_8156,Baza Isak,1.0
Tarjeta_8156,Cazar Gustav,0.125
Tarjeta_8156,Campo-Corrente Ada,0.26785714285714285
Tarjeta_8156,Calzas Axel,0.125
Tarjeta_8156,Ferro Inga,1.0
Tarjeta_8156,Bodrogi Loreto,0.5
Tarjeta_8156,Flecha Sven,0.5
Tarjeta_8156,Frente Vira,0.125
Tarjeta_8156,Osvaldo Hennie,0.5
Tarjeta_8156,Nubarron Adra,0.625
Tarjeta_8156,Mies Minke,2.0
Tarjeta_8156,Strum Orhan,0.26785714285714285
Tarjeta_8156,Tempestad Brand,0.14285714285714285
Tarjeta_8156,Vann Edvard,0.14285714285714285
Tarjeta_8156,Vasco-Pais Willem,0.125
Tarjeta_8129,Baza Isak,1.0
Tarjeta_8129,Bergen Linnea,5.333333333333333
Tarjeta_8129,Fusil Stenig,0.3333333333333333
Tarjeta_8129,Mies Minke,0.3333333333333333
Tarjeta_8129,Herrero Kanon,1.1666666666666665
Tarjeta_8129,Ovan Bertrand,1.8333333333333333
Tarjeta_7889,Bergen Linnea,4.5
Tarjeta_7889,Fusil Stenig,0.3333333333333333
Tarjeta_7889,Mies Minke,0.3333333333333333
Tarjeta_7889,Herrero Kanon,1.8333333333333333
Tarjeta_7889,Ovan Bertrand,2.0
Tarjeta_7819,Barranco Ingrid,0.2
Tarjeta_7819,Baza Isak,1.0
Tarjeta_7819,Campo-Corrente Ada,0.2
Tarjeta_7819,Ferro Inga,2.433333333333333
Tarjeta_7819,Bodrogi Loreto,0.4
Tarjeta_7819,Vann Isia,0.3666666666666667
Tarjeta_7819,Frente Vira,0.2
Tarjeta_7819,Osvaldo Hennie,0.5
Tarjeta_7819,Nubarron Adra,1.7
Tarjeta_7819,Lagos Varja,0.16666666666666666
Tarjeta_7819,Mies Minke,0.4
Tarjeta_7819,Borrasca Isande,0.5
Tarjeta_7819,Resumir Felix,3.566666666666667
Tarjeta_7819,Vann Edvard,0.16666666666666666
Tarjeta_7819,Vasco-Pais Willem,0.2
Tarjeta_7688,Azada Lars,0.16666666666666666
Tarjeta_7688,Barranco Ingrid,0.16666666666666666
Tarjeta_7688,Bergen Linnea,0.3333333333333333
Tarjeta_7688,Campo-Corrente Ada,0.16666666666666666
Tarjeta_7688,Calzas Axel,0.16666666666666666
Tarjeta_7688,Vann Isia,0.3333333333333333
Tarjeta_7688,Mies Minke,0.3333333333333333
Tarjeta_7688,Strum Orhan,0.16666666666666666
Tarjeta_7688,Vasco-Pais Willem,1.1666666666666667
Tarjeta_7384,Baza Isak,1.0
Tarjeta_7384,Ferro Inga,1.6282106782106782
Tarjeta_7384,Bodrogi Loreto,0.8032106782106782
Tarjeta_7384,Vann Isia,1.0032106782106782
Tarjeta_7384,Flecha Sven,0.9853535353535353
Tarjeta_7384,Fusil Stenig,0.5825757575757575
Tarjeta_7384,Osvaldo Hennie,0.5611111111111111
Tarjeta_7384,Nubarron Adra,1.2615440115440115
Tarjeta_7384,Lagos Varja,0.452020202020202
Tarjeta_7384,Mies Minke,0.09090909090909091
Tarjeta_7384,Resumir Felix,1.4282106782106783
Tarjeta_7384,Tempestad Brand,0.5115440115440115
Tarjeta_7384,Vann Edvard,0.6920995670995671
Tarjeta_7384,Vasco-Pais Willem,1.0
Tarjeta_7354,Ferro Inga,0.9202380952380951
Tarjeta_7354,Bodrogi Loreto,0.9023809523809523
Tarjeta_7354,Vann Isia,1.1785714285714284
Tarjeta_7354,Flecha Sven,0.26785714285714285
Tarjeta_7354,Fusil Stenig,0.25
Tarjeta_7354,Osvaldo Hennie,0.39285714285714285
Tarjeta_7354,Nubarron Adra,1.3785714285714283
Tarjeta_7354,Lagos Varja,0.4107142857142857
Tarjeta_7354,Mies Minke,0.30952380952380953
Tarjeta_7354,Resumir Felix,1.045238095238095
Tarjeta_7354,Tempestad Brand,0.2
Tarjeta_7354,Vann Edvard,0.7440476190476191
Tarjeta_7354,Vasco-Pais Willem,1.0
Tarjeta_7253,Ferro Inga,1.6833333333333333
Tarjeta_7253,Bodrogi Loreto,0.6583333333333333
Tarjeta_7253,Vann Isia,0.5
Tarjeta_7253,Flecha Sven,0.9166666666666666
Tarjeta_7253,Fusil Stenig,0.5416666666666666
Tarjeta_7253,Osvaldo Hennie,0.575
Tarjeta_7253,Nubarron Adra,1.9333333333333333
Tarjeta_7253,Lagos Varja,0.6166666666666667
Tarjeta_7253,Mies Minke,0.4
